buying,maint,doors,persons,lug_boot,safety,class
vhigh,med,4_,more_,small,med,unacc
high,high,5more_,2_,big,med,unacc
high,med,2_,4_,big,low,unacc
low,vhigh,5more_,more_,med,low,unacc
high,med,5more_,more_,big,low,unacc
med,med,3_,2_,small,low,unacc
med,med,2_,more_,small,low,unacc
low,vhigh,4_,2_,small,med,unacc
low,vhigh,2_,2_,med,low,unacc
high,low,2_,more_,small,med,unacc
high,high,3_,2_,med,low,unacc
med,vhigh,3_,2_,med,low,unacc
vhigh,med,4_,2_,med,low,unacc
med,vhigh,3_,more_,big,low,unacc
vhigh,med,5more_,2_,small,low,unacc
low,med,5more_,more_,small,low,unacc
high,vhigh,3_,more_,med,med,unacc
vhigh,med,3_,4_,med,med,unacc
high,vhigh,4_,4_,big,med,unacc
med,vhigh,3_,4_,med,med,unacc
med,vhigh,3_,4_,small,low,unacc
vhigh,low,2_,more_,small,high,unacc
vhigh,high,4_,more_,small,med,unacc
low,vhigh,2_,2_,small,low,unacc
vhigh,high,5more_,more_,small,low,unacc
vhigh,low,5more_,2_,med,med,unacc
med,vhigh,2_,2_,big,low,unacc
high,vhigh,3_,2_,small,high,unacc
high,vhigh,2_,more_,small,high,unacc
med,vhigh,2_,2_,small,med,unacc
low,high,4_,4_,small,low,unacc
high,vhigh,5more_,2_,med,med,unacc
low,vhigh,4_,2_,med,med,unacc
high,low,5more_,more_,big,low,unacc
low,vhigh,2_,more_,big,low,unacc
vhigh,low,3_,2_,small,low,unacc
low,med,3_,2_,big,high,unacc
high,vhigh,3_,more_,small,low,unacc
vhigh,vhigh,4_,2_,small,med,unacc
med,vhigh,5more_,2_,small,high,unacc
high,med,4_,2_,big,high,unacc
vhigh,high,2_,2_,med,low,unacc
med,med,2_,more_,med,low,unacc
med,high,3_,2_,med,high,unacc
low,high,5more_,more_,med,low,unacc
high,med,5more_,more_,med,low,unacc
med,vhigh,4_,2_,small,low,unacc
high,high,3_,4_,small,low,unacc
med,med,3_,2_,small,med,unacc
high,high,4_,2_,med,high,unacc
low,med,2_,4_,big,low,unacc
vhigh,high,2_,2_,small,high,unacc
low,low,4_,2_,big,high,unacc
high,low,2_,more_,med,low,unacc
vhigh,low,5more_,2_,big,high,unacc
high,med,3_,more_,med,low,unacc
high,vhigh,4_,more_,big,low,unacc
low,vhigh,5more_,4_,small,low,unacc
low,med,4_,2_,small,med,unacc
high,vhigh,5more_,4_,med,low,unacc
low,vhigh,5more_,2_,big,low,unacc
low,med,5more_,more_,big,low,unacc
low,low,2_,4_,small,low,unacc
low,med,2_,2_,big,med,unacc
low,vhigh,2_,2_,small,med,unacc
med,high,3_,4_,small,med,unacc
med,vhigh,2_,2_,small,high,unacc
vhigh,high,2_,2_,big,high,unacc
high,high,3_,more_,small,high,acc
high,high,2_,4_,small,high,acc
low,vhigh,4_,4_,small,high,acc
med,vhigh,4_,more_,med,med,acc
med,vhigh,2_,more_,big,high,acc
low,high,3_,4_,small,med,acc
vhigh,low,4_,4_,med,high,acc
low,vhigh,4_,more_,big,high,acc
med,low,3_,4_,med,med,acc
low,med,4_,4_,small,med,acc
low,vhigh,4_,4_,med,med,acc
med,vhigh,2_,4_,big,high,acc
high,med,3_,4_,med,high,acc
med,high,4_,more_,med,high,acc
med,low,2_,4_,med,med,acc
low,vhigh,3_,4_,med,high,acc
low,vhigh,5more_,more_,big,med,acc
high,high,5more_,more_,big,high,acc
high,low,5more_,4_,big,high,acc
low,high,4_,more_,small,med,acc
high,med,3_,more_,med,high,acc
vhigh,med,5more_,more_,big,med,acc
high,high,4_,more_,med,med,acc
med,high,2_,more_,big,high,acc
high,high,3_,4_,med,high,acc
high,med,3_,4_,small,high,acc
med,med,3_,4_,small,med,acc
vhigh,low,2_,4_,small,high,acc
high,med,4_,4_,med,high,acc
vhigh,med,3_,more_,big,high,acc
vhigh,low,5more_,more_,small,high,acc
vhigh,med,4_,more_,med,med,acc
low,high,5more_,4_,big,med,acc
high,high,5more_,4_,big,high,acc
med,med,2_,4_,med,med,acc
high,low,4_,more_,big,med,acc
vhigh,low,2_,4_,med,high,acc
low,vhigh,5more_,4_,med,high,acc
low,med,5more_,4_,big,high,vgood
med,low,3_,more_,big,high,vgood
low,med,4_,more_,big,high,vgood
low,low,4_,4_,med,high,vgood
med,low,4_,more_,big,high,vgood
low,low,4_,4_,big,high,vgood
low,med,3_,more_,med,high,vgood
low,med,3_,more_,big,med,good
low,low,3_,4_,med,high,good
low,low,2_,4_,med,high,good
low,med,5more_,4_,med,med,good
med,low,4_,more_,big,med,good
med,low,5more_,more_,big,med,good
